12/26/2023 9:59:14 AM - User: abeera , Activity: Invalid login attempt
12/26/2023 9:59:18 AM - User: abeera , Activity: Invalid login attempt
12/26/2023 9:59:53 AM - User: abeera , Activity: Invalid login attempt
12/26/2023 10:00:28 AM - User: abeera, Activity: User login successfully
12/26/2023 10:00:30 AM - User: abeera, Activity: Accessed Dashboard
12/26/2023 10:03:17 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 10:03:26 AM - User: huda, Activity: User login successfully
12/26/2023 10:03:28 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 10:03:32 AM - User: huda, Activity: Logout from system
12/26/2023 10:03:41 AM - User: abeera, Activity: User login successfully
12/26/2023 10:03:43 AM - User: abeera, Activity: Accessed Dashboard
12/26/2023 10:06:51 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 10:07:37 AM - User: huda, Activity: User login successfully
12/26/2023 10:07:39 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 10:08:03 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 10:08:18 AM - User: huda, Activity: User login successfully
12/26/2023 10:08:21 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 10:09:02 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 10:09:11 AM - User: huda, Activity: User login successfully
12/26/2023 10:09:13 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 10:10:02 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 10:10:14 AM - User: huda, Activity: User login successfully
12/26/2023 10:10:17 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 10:10:51 AM - User: login, Activity: Invalid login attempt
12/26/2023 10:10:58 AM - User: huda, Activity: User login successfully
12/26/2023 10:11:01 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:11:05 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:11:17 AM - User: Skin Care, Activity: Decremented by 1
12/26/2023 10:11:17 AM - User: huda, Activity: Deleted student with ID 31
12/26/2023 10:13:18 AM - User: huda, Activity: Viewed details of student with ID 1
12/26/2023 10:14:37 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 10:14:50 AM - User: huda, Activity: Logout from system
12/26/2023 10:14:56 AM - User: abeera, Activity: User login successfully
12/26/2023 10:14:58 AM - User: abeera, Activity: Accessed Dashboard
12/26/2023 10:15:16 AM - User: abeera, Activity: Accessed StudentForm
12/26/2023 10:15:18 AM - User: abeera, Activity: Accessed all students successfully
12/26/2023 10:16:06 AM - User: abeera, Activity: Accessed Dashboard
12/26/2023 10:17:34 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 10:17:56 AM - User: abeera, Activity: User login successfully
12/26/2023 10:17:57 AM - User: abeera, Activity: Accessed Dashboard
12/26/2023 10:18:04 AM - User: abeera, Activity: Logout from system
12/26/2023 10:18:15 AM - User: huda, Activity: User login successfully
12/26/2023 10:18:17 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 10:18:51 AM - User: huda, Activity: Accessed StudentForm
12/26/2023 10:18:54 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:18:57 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:19:10 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:19:19 AM - User: huda, Activity: Submitted Edit form for student with ID 1
12/26/2023 10:19:19 AM - User: , Activity: Decremented by 1
12/26/2023 10:19:19 AM - User: Watering Plants, Activity: Incremented by 1
12/26/2023 10:19:19 AM - User: huda, Activity: Edited student with ID 1
12/26/2023 10:24:47 AM - User: Anonymous, Activity: Attempted to edit student with ID 1 without logging in
12/26/2023 10:24:55 AM - User: huda, Activity: User login successfully
12/26/2023 10:24:57 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:24:58 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:25:03 AM - User: huda, Activity: Viewed details of student with ID 1
12/26/2023 10:25:36 AM - User: Anonymous, Activity: Attempted to view details of student with ID 1 without logging in
12/26/2023 10:25:47 AM - User: huda, Activity: User login successfully
12/26/2023 10:25:49 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:25:51 AM - User: huda, Activity: Viewed details of student with ID 1
12/26/2023 10:26:36 AM - User: Anonymous, Activity: Attempted to view details of student with ID 1 without logging in
12/26/2023 10:28:45 AM - User: Anonymous, Activity: Attempted to view details of student with ID 1 without logging in
12/26/2023 10:28:55 AM - User: huda, Activity: User login successfully
12/26/2023 10:28:56 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:29:00 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:29:46 AM - User: Anonymous, Activity: Attempted to edit student with ID 1 without logging in
12/26/2023 10:33:05 AM - User: huda, Activity: Invalid login attempt
12/26/2023 10:33:09 AM - User: huda, Activity: User login successfully
12/26/2023 10:33:11 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:33:14 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:33:47 AM - User: Anonymous, Activity: Attempted to edit student with ID 1 without logging in
12/26/2023 10:33:56 AM - User: huda, Activity: User login successfully
12/26/2023 10:33:58 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:34:27 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:35:43 AM - User: Anonymous, Activity: Attempted to edit student with ID 1 without logging in
12/26/2023 10:35:51 AM - User: huda, Activity: User login successfully
12/26/2023 10:35:53 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:35:56 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 10:36:09 AM - User: Anonymous, Activity: Attempted to edit student with ID 1 without logging in
12/26/2023 10:36:22 AM - User: huda, Activity: User login successfully
12/26/2023 10:36:23 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 10:36:26 AM - User: huda, Activity: Accessed Edit page for student with ID 1
